place_id,place_names,latitude,longitude,address,city,city_CN,redirection_url,navigation_url
ChIJC8EevbSrQjQRuXBROTgppw8,COMEBUY(台北北醫店),25.0266,121.564,台北市信義區吳興街277號,Taipei City,台北市,https://foodpanda.com.tw/restaurant/a2wv/comebuy-tai-bei-bei-yi-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=COMEBUY%28%E5%8F%B0%E5%8C%97%E5%8C%97%E9%86%AB%E5%BA%97%29&travelmode=driving
ChIJwZNRZKarQjQRjsWDDkvjf68,85度C(台北莊敬店),25.0272,121.566,台北市信義區莊敬路416號,Taipei City,台北市,https://foodpanda.com.tw/restaurant/y9kc/85du-c-tai-bei-zhuang-jing-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=85%E5%BA%A6C%28%E5%8F%B0%E5%8C%97%E8%8E%8A%E6%95%AC%E5%BA%97%29&travelmode=driving
ChIJb7PV-vOrQjQRVo3fSFdwhAs,烏弄(信義吳興店),25.0313,121.56,台北市信義區吳興街35號,Taipei City,台北市,https://foodpanda.com.tw/restaurant/chx1/wu-nong-xin-yi-wu-xing-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E7%83%8F%E5%BC%84%28%E4%BF%A1%E7%BE%A9%E5%90%B3%E8%88%88%E5%BA%97%29&travelmode=driving
ChIJHVhc8AmrQjQRF5kjfCQTvqs,先喝道(台北101店),25.034,121.565,台北市信義區市府路45號B1,Taipei City,台北市,https://foodpanda.com.tw/restaurant/oniy/xian-he-dao-tai-bei-101dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%85%88%E5%96%9D%E9%81%93%28%E5%8F%B0%E5%8C%97101%E5%BA%97%29&travelmode=driving
ChIJ56sYHtGrQjQR72D7Ffig0Io,因果茶(微風南山店),25.0345,121.566,台北市信義區松智路17號B2,Taipei City,台北市,https://foodpanda.com.tw/restaurant/cl14/yin-guo-cha-wei-feng-nan-shan-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%9B%A0%E6%9E%9C%E8%8C%B6%28%E5%BE%AE%E9%A2%A8%E5%8D%97%E5%B1%B1%E5%BA%97%29&travelmode=driving
ChIJs1YCq_CrQjQR3xt2-Wj92Gk,天仁CHAFFEE(微風南山Ⓟ),25.0344,121.567,台北市信義區松智路17號B2F,Taipei City,台北市,https://foodpanda.com.tw/restaurant/c9xl/tian-ren-chaffee-wei-feng-nan-shan,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%A4%A9%E4%BB%81CHAFFEE%28%E5%BE%AE%E9%A2%A8%E5%8D%97%E5%B1%B1%E2%93%85%29&travelmode=driving
ChIJma6XJ2OrQjQRvuT2hJCv4FU,Chatime(信義威秀店),25.0354,121.567,台北市信義區松壽路20號2F,Taipei City,台北市,https://foodpanda.com.tw/restaurant/f8qd/chatime-xin-yi-wei-xiu-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=Chatime%28%E4%BF%A1%E7%BE%A9%E5%A8%81%E7%A7%80%E5%BA%97%29&travelmode=driving
ChIJyf-DD8WpQjQR82pzoLn3VRQ,迷客夏 Milksha(台北北醫店),25.0292,121.563,台北市信義區莊敬路260號,Taipei City,台北市,https://foodpanda.com.tw/restaurant/ue2y/mi-ke-xia-milksha-tai-bei-bei-yi-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E8%BF%B7%E5%AE%A2%E5%A4%8F+Milksha%28%E5%8F%B0%E5%8C%97%E5%8C%97%E9%86%AB%E5%BA%97%29&travelmode=driving
ChIJO4L0ns6rQjQRbuOnK4dvVcE,發發 莊敬牧場,25.0285,121.563,台北市信義區莊敬路306號,Taipei City,台北市,https://foodpanda.com.tw/restaurant/snls/fa-fa-zhuang-jing-mu-chang,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E7%99%BC%E7%99%BC+%E8%8E%8A%E6%95%AC%E7%89%A7%E5%A0%B4&travelmode=driving
ChIJtbCFYFGrQjQRAAGubuykFNI,再睡5分鐘(台北吳興店),25.0311,121.56,台北市信義區吳興街53號,Taipei City,台北市,https://foodpanda.com.tw/restaurant/iucx/zai-shui-5fen-zhong-tai-bei-wu-xing-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%86%8D%E7%9D%A15%E5%88%86%E9%90%98%28%E5%8F%B0%E5%8C%97%E5%90%B3%E8%88%88%E5%BA%97%29&travelmode=driving
